time,station_id,lng,lat,returned,current_capacity,total_capacity
2023-07-20 06:38:42,M32011,-71.1031,42.36507,1,26,19
2023-07-20 06:39:39,M32047,-71.103934,42.357753,1,20,19
2023-07-20 06:40:06,M32004,-71.084955,42.362428,0,18,23
2023-07-20 06:40:21,M32017,-71.120986,42.373329,1,16,15
2023-07-20 06:40:50,M32062,-71.100265,42.374267,0,23,25
2023-07-20 06:41:52,M32068,-71.124498,42.382944,0,18,19
2023-07-20 06:42:09,M32059,-71.087567,42.363693,0,17,18
2023-07-20 06:43:30,M32061,-71.096703,42.361358,1,19,16
2023-07-20 06:43:43,M32026,-71.104412,42.370803,0,22,23
2023-07-20 06:43:55,M32052,-71.097599,42.371197,1,20,19
2023-07-20 06:44:25,M32075,-71.139019,42.389456,0,18,19
2023-07-20 06:44:48,M32027,-71.086336,42.366088,1,21,19
2023-07-20 06:44:48,M32004,-71.084955,42.362428,0,17,23
2023-07-20 06:44:58,M32035,-71.076546,42.366447,0,17,19
2023-07-20 06:46:14,M32020,-71.119945,42.379011,1,21,19
2023-07-20 06:46:54,M32029,-71.119084,42.387995,0,16,19
2023-07-20 06:47:09,M32006,-71.093198,42.3581,1,28,27
2023-07-20 06:47:40,M32012,-71.105495,42.366426,1,14,17
2023-07-20 06:48:23,M32026,-71.104412,42.370803,0,21,23
2023-07-20 06:49:10,M32013,-71.111075,42.373379,1,19,19
2023-07-20 06:49:52,M32029,-71.119084,42.387995,0,15,19
2023-07-20 06:50:36,M32047,-71.103934,42.357753,0,19,19
2023-07-20 06:50:38,M32005,-71.091156,42.362131,1,38,35
2023-07-20 06:51:37,M32031,-71.132788,42.388966,0,16,17
2023-07-20 06:51:42,M32052,-71.097599,42.371197,1,21,19
2023-07-20 06:52:49,M32061,-71.096703,42.361358,0,18,16
2023-07-20 06:53:23,M32011,-71.1031,42.36507,0,25,19
2023-07-20 06:53:42,M32080,-71.091567,42.362902,1,26,23
2023-07-20 06:54:20,M32077,-71.076198,42.371141,0,22,23
2023-07-20 06:54:29,M32026,-71.104412,42.370803,0,20,23
2023-07-20 06:54:45,M32073,-71.109988,42.368952,1,19,19
2023-07-20 06:55:57,M32030,-71.1081,42.36178,0,16,19
2023-07-20 06:56:07,M32048,-71.082771,42.365445,0,15,15
2023-07-20 06:56:07,M32006,-71.093198,42.3581,0,27,27
2023-07-20 06:56:13,M32006,-71.093198,42.3581,1,28,27
2023-07-20 06:56:26,M32037,-71.08822,42.3625,1,17,19
2023-07-20 06:56:44,M32029,-71.119084,42.387995,1,16,19
2023-07-20 06:57:06,M32038,-71.11687,42.369239,0,21,21
2023-07-20 06:57:26,M32048,-71.082771,42.365445,0,14,15
2023-07-20 06:57:32,M32061,-71.096703,42.361358,0,17,16
2023-07-20 06:59:53,M32080,-71.091567,42.362902,1,27,23
2023-07-20 07:00:22,M32081,-71.086342,42.37308,0,16,19
2023-07-20 07:00:33,M32085,-71.100442,42.363565,1,16,15
2023-07-20 07:00:45,M32037,-71.08822,42.3625,1,18,19
2023-07-20 07:01:01,M32030,-71.1081,42.36178,0,15,19
2023-07-20 07:01:04,M32011,-71.1031,42.36507,0,24,19
2023-07-20 07:01:06,M32085,-71.100442,42.363565,0,15,15
2023-07-20 07:01:41,M32071,-71.085519,42.360859,1,28,27
2023-07-20 07:01:50,M32006,-71.093198,42.3581,0,27,27
2023-07-20 07:02:30,M32006,-71.093198,42.3581,1,28,27
2023-07-20 07:02:31,M32042,-71.103945,42.355601,0,52,53
2023-07-20 07:02:35,M32011,-71.1031,42.36507,1,25,19
2023-07-20 07:02:47,M32042,-71.103945,42.355601,0,51,53
2023-07-20 07:03:34,M32011,-71.1031,42.36507,1,26,19
2023-07-20 07:04:23,M32078,-71.088542,42.36642,1,23,19
2023-07-20 07:04:29,M32083,-71.08631,42.369036,1,17,19
2023-07-20 07:04:35,M32076,-71.108413,42.357662,1,15,15
2023-07-20 07:04:53,M32027,-71.086336,42.366088,1,22,19
2023-07-20 07:05:01,M32003,-71.083111,42.362242,1,24,23
2023-07-20 07:05:20,M32031,-71.132788,42.388966,0,15,17
2023-07-20 07:05:28,M32037,-71.08822,42.3625,1,19,19
2023-07-20 07:05:48,M32021,-71.114025,42.376369,1,16,15
2023-07-20 07:05:53,M32004,-71.084955,42.362428,1,18,23
2023-07-20 07:06:13,M32075,-71.139019,42.389456,1,19,19
2023-07-20 07:07:19,M32011,-71.1031,42.36507,0,25,19
2023-07-20 07:07:39,M32012,-71.105495,42.366426,0,13,17
2023-07-20 07:08:17,M32029,-71.119084,42.387995,0,15,19
2023-07-20 07:08:21,M32018,-71.118579,42.373268,1,21,19
2023-07-20 07:08:42,M32041,-71.101295,42.359573,0,15,19
2023-07-20 07:09:31,M32041,-71.101295,42.359573,0,14,19
2023-07-20 07:09:38,M32071,-71.085519,42.360859,1,29,27
2023-07-20 07:10:05,M32076,-71.108413,42.357662,0,14,15
2023-07-20 07:10:05,M32005,-71.091156,42.362131,1,39,35
2023-07-20 07:10:07,M32066,-71.147971,42.397908,0,22,23
2023-07-20 07:10:13,M32038,-71.11687,42.369239,0,20,21
2023-07-20 07:10:38,M32039,-71.119019,42.386748,0,14,15
2023-07-20 07:10:45,M32005,-71.091156,42.362131,0,38,35
2023-07-20 07:11:13,M32026,-71.104412,42.370803,1,21,23
2023-07-20 07:11:20,M32032,-71.082168,42.36356,0,17,17
2023-07-20 07:11:42,M32046,-71.142606,42.395588,1,20,19
2023-07-20 07:12:05,M32026,-71.104412,42.370803,0,20,23
2023-07-20 07:13:00,M32018,-71.118579,42.373268,1,22,19
2023-07-20 07:13:18,M32011,-71.1031,42.36507,1,26,19
2023-07-20 07:13:38,M32041,-71.101295,42.359573,0,13,19
2023-07-20 07:13:46,M32072,-71.08974,42.363004,1,20,19
2023-07-20 07:13:53,M32076,-71.108413,42.357662,0,13,15
2023-07-20 07:14:17,M32063,-71.099302,42.368605,0,18,19
2023-07-20 07:14:17,M32073,-71.109988,42.368952,0,18,19
2023-07-20 07:14:27,M32005,-71.091156,42.362131,1,39,35
2023-07-20 07:14:32,M32059,-71.087567,42.363693,0,16,18
2023-07-20 07:15:23,M32021,-71.114025,42.376369,0,15,15
2023-07-20 07:15:32,M32019,-71.076793,42.367074,0,15,15
2023-07-20 07:15:34,M32085,-71.100442,42.363565,1,16,15
2023-07-20 07:16:06,M32031,-71.132788,42.388966,0,14,17
2023-07-20 07:16:47,M32020,-71.119945,42.379011,1,22,19
2023-07-20 07:17:13,M32005,-71.091156,42.362131,1,40,35
2023-07-20 07:17:14,M32067,-71.089954,42.372077,0,19,19
2023-07-20 07:17:18,M32011,-71.1031,42.36507,0,25,19
2023-07-20 07:17:21,M32011,-71.1031,42.36507,1,26,19
2023-07-20 07:17:27,M32041,-71.101295,42.359573,1,14,19
2023-07-20 07:17:36,M32067,-71.089954,42.372077,0,18,19
2023-07-20 07:17:42,M32066,-71.147971,42.397908,0,21,23
2023-07-20 07:17:43,M32011,-71.1031,42.36507,1,27,19
2023-07-20 07:18:00,M32073,-71.109988,42.368952,0,17,19
2023-07-20 07:18:09,M32011,-71.1031,42.36507,0,26,19
2023-07-20 07:19:00,M32024,-71.125107,42.380287,0,18,19
2023-07-20 07:20:20,M32017,-71.120986,42.373329,1,17,15
2023-07-20 07:20:40,M32046,-71.142606,42.395588,1,21,19
2023-07-20 07:20:45,M32049,-71.072005,42.371977,1,24,23
2023-07-20 07:20:57,M32018,-71.118579,42.373268,0,21,19
2023-07-20 07:21:17,M32002,-71.09169,42.366277,1,21,19
2023-07-20 07:21:43,M32075,-71.139019,42.389456,0,18,19
2023-07-20 07:22:06,M32041,-71.101295,42.359573,1,15,19
2023-07-20 07:22:33,M32012,-71.105495,42.366426,0,12,17
2023-07-20 07:22:37,M32049,-71.072005,42.371977,1,25,23
2023-07-20 07:22:47,M32067,-71.089954,42.372077,0,17,19
2023-07-20 07:23:15,M32063,-71.099302,42.368605,1,19,19
2023-07-20 07:23:36,M32014,-71.114214,42.366621,0,14,15
2023-07-20 07:24:22,M32042,-71.103945,42.355601,0,50,53
2023-07-20 07:24:23,M32049,-71.072005,42.371977,1,26,23
2023-07-20 07:24:59,M32012,-71.105495,42.366426,0,11,17
2023-07-20 07:24:59,M32013,-71.111075,42.373379,0,18,19
2023-07-20 07:25:00,M32064,-71.080138,42.365507,1,20,19
2023-07-20 07:25:24,M32006,-71.093198,42.3581,1,29,27
2023-07-20 07:25:49,M32011,-71.1031,42.36507,0,25,19
2023-07-20 07:26:20,M32045,-71.071163,42.36769,0,18,19
2023-07-20 07:26:22,M32006,-71.093198,42.3581,1,30,27
2023-07-20 07:26:38,M32032,-71.082168,42.36356,0,16,17
2023-07-20 07:27:25,M32062,-71.100265,42.374267,0,22,25
2023-07-20 07:28:17,M32072,-71.08974,42.363004,1,21,19
2023-07-20 07:28:20,M32007,-71.094445,42.372969,0,14,15
2023-07-20 07:28:31,M32004,-71.084955,42.362428,0,17,23
2023-07-20 07:28:52,M32041,-71.101295,42.359573,1,16,19
2023-07-20 07:29:08,M32080,-71.091567,42.362902,0,26,23
2023-07-20 07:29:25,M32027,-71.086336,42.366088,0,21,19
2023-07-20 07:29:29,M32006,-71.093198,42.3581,1,31,27
2023-07-20 07:29:54,M32049,-71.072005,42.371977,1,27,23
2023-07-20 07:30:03,M32022,-71.113872,42.357219,0,18,19
2023-07-20 07:30:07,M32085,-71.100442,42.363565,0,15,15
2023-07-20 07:30:18,M32011,-71.1031,42.36507,1,26,19
2023-07-20 07:30:33,M32080,-71.091567,42.362902,0,25,23
2023-07-20 07:30:38,M32024,-71.125107,42.380287,0,17,19
2023-07-20 07:30:50,M32021,-71.114025,42.376369,1,16,15
2023-07-20 07:30:57,M32080,-71.091567,42.362902,0,24,23
2023-07-20 07:31:08,M32024,-71.125107,42.380287,0,16,19
2023-07-20 07:31:09,M32018,-71.118579,42.373268,1,22,19
2023-07-20 07:31:26,M32049,-71.072005,42.371977,0,26,23
2023-07-20 07:31:27,M32050,-71.113054,42.372509,1,18,19
2023-07-20 07:31:29,M32046,-71.142606,42.395588,0,20,19
2023-07-20 07:33:17,M32012,-71.105495,42.366426,0,10,17
2023-07-20 07:33:19,M32031,-71.132788,42.388966,1,15,17
2023-07-20 07:33:45,M32061,-71.096703,42.361358,1,18,16
2023-07-20 07:33:54,M32036,-71.129042,42.392766,0,17,19
2023-07-20 07:34:05,M32029,-71.119084,42.387995,0,14,19
2023-07-20 07:34:41,M32059,-71.087567,42.363693,0,15,18
2023-07-20 07:34:47,M32011,-71.1031,42.36507,1,27,19
2023-07-20 07:34:50,M32006,-71.093198,42.3581,1,32,27
2023-07-20 07:34:51,M32059,-71.087567,42.363693,1,16,18
2023-07-20 07:34:58,M32006,-71.093198,42.3581,1,33,27
2023-07-20 07:35:05,M32003,-71.083111,42.362242,0,23,23
2023-07-20 07:35:53,M32047,-71.103934,42.357753,0,18,19
2023-07-20 07:35:56,M32002,-71.09169,42.366277,1,22,19
2023-07-20 07:36:04,M32030,-71.1081,42.36178,0,14,19
2023-07-20 07:36:06,M32042,-71.103945,42.355601,0,49,53
2023-07-20 07:36:09,M32040,-71.100061,42.362648,1,19,19
2023-07-20 07:36:26,M32017,-71.120986,42.373329,0,16,15
2023-07-20 07:36:33,M32052,-71.097599,42.371197,0,20,19
